Ma_sp,Ten_sp,Gia,Xuat_xu,Nong_do,Dung_tich,Giong_nho,Mau_sac,Loai_ruou,Thuong_hieu,Vung_lam_vang
VNHD-7250,Rượu Vang Mỹ The Founder,7.250.000,"Mỹ
","15.5 %
","750 ML
","Cabernet Sauvignon,Malbec",Đỏ ruby,Rượu Vang Đỏ,Buena Vista,"
"
VNPV-2896,Rượu Vang Mỹ The Hilt The Vanguard Pinot Noir,2.607.000,"Mỹ
","14 %
","750 ML
",Pinot Noir, Đỏ ruby,Rượu Vang Đỏ,: The Hilt,California
VNPV-1301,Rượu Vang Mỹ The Paring Red,1.171.000,"Mỹ
","14 %
","750 ML
","Merlot,Cabernet Sauvignon,Cabernet Franc,Petit Verdot", Đỏ ruby,Rượu Vang Đỏ,: The Paring,California
VNRVPR89,Rượu Vang Mỹ The Prisoner Saldo Zinfandel,1,"Mỹ
","16 %
","750 ML
",Zinfandel, Màu đỏ đậm,Rượu vang đỏ, The Prisoner,California
VNRVPR92,Rượu Vang Mỹ Treana Cabernet Sauvignon,1,"Mỹ
","14.5 %
","750 ML
",Cabernet Sauvignon, Màu đỏ đậm,Rượu vang đỏ, Treana,Paso Robles
VNRVPR93,Rượu Vang Mỹ Trefethen Cabernet Sauvignon,1,"Mỹ
","13 %
","750 ML
",,,,,Napa Valley
VNPV-530,Rượu Vang Mỹ Unruly Cabernet Sauvignon,477.000,"Mỹ
","14.5 %
","750 ML
",Cabernet Sauvignon, Đỏ tía,Rượu Vang Đỏ,: Unruly,California
VNPV2-530,Rượu Vang Mỹ Unruly Chardonnay,477.000,"Mỹ
","14 %
","750 ML
",Chardonnay, Vàng rơm,Rượu Vang Trắng,: Unruly,California
VNHM4-690,Rượu Vang Mỹ Wente Sandstone Merlot,690.000,"Mỹ
","13.5 %
","750 ML
",Merlot,,Rượu Vang Đỏ,Wente,California
VNVH1-2800,Rượu Vang Mythic Barrel Malbec,2.800.000,"Argentina
","14.5 %
","750 ML
",Malbec,Đỏ ruby ,Rượu Vang Đỏ, Mythic,Mendoza
VNVH-1350,Rượu Vang Mythic Block Malbec,1.350.000,"Argentina
","14 %
","750 ML
",Malbec,Đỏ ruby ,Rượu Vang Đỏ, Mythic,Mendoza
VNVH8-450,Rượu Vang Mythic Moutain Malbec,450.000,"Argentina
","13.5 %
","750 ML
",Malbec,Đỏ ruby ,Rượu Vang Đỏ, Mythic,Mendoza
VNLK-750,Rượu Vang N Nero Di Troia Conte Di Campiano,750.000,"Ý
","15 %
","750 ML
",Nero Di Troia ,Đỏ ruby,Rượu Vang Đỏ, Conte di Campiano,Puglia
VNADT-2386,Rượu Vang Nabot Rioja Tempranillo,2.386.000,"Tây Ban Nha
","14.5 %
","750 ML
",Tempranillo,Đỏ ruby,Rượu Vang Đỏ,Nabot,: D.O.Ca. Rioja
VNWH4-650,Rượu Vang Nam Phi Bellingham Pinotage,600.000,"Nam Phi
","14 %
","750 ML
",Pinotage,,Rượu vang đỏ,: Bellingham ,: Stellenbosch
VNWH5-250,Rượu Vang Nam Phi Culemborg Merlot,240.000,"Nam Phi
","13.5 %
","750 ML
",Merlot,,Rượu vang đỏ,: Culemborg ,: Western Cape
VNPV3-536,Rượu Vang Nam Phi Fairview Goats Do Roam,483.000,"Nam Phi
","14 %
","750 ML
","Carignan,Grenache,Mourvedre,Syrah", Vàng rơm,Rượu Vang Đỏ,Fairview,: Western Cape
VNPV1-806,Rượu Vang Nam Phi Fairview Pinotage,726.000,"Nam Phi
","14 %
","750 ML
",Pinotage, Đỏ ruby,Rượu Vang Đỏ,Fairview,: Western Cape
VNDL4-769,Rượu Vang Nam Phi Glen Carlou Pinot Noir,769.000,"Nam Phi
","14 %
","750 ML
",Pinot Noir,,Rượu vang đỏ,Glen Carlou,: Paarl Valley
VNPV1-536,Rượu Vang Nam Phi Goats Do Roam Fairview,483.000,"Nam Phi
","14 %
","750 ML
","Carignan,Grenache,Mourvedre,Syrah", Đỏ ruby,Rượu Vang Đỏ,Fairview,: Western Cape
VNWH - 1750,Rượu Vang Nam Phi Klein Constantia Estate Red,1,"Nam Phi
","14.5 %
","750 ML
","Malbec,Cabernet Sauvignon,Petit Verdot",,Rượu vang đỏ,: Klein Constantia ,: Western Cape
VNKR1-720,Rượu Vang Nam Phi LanZerac Merlot,720.000,"Nam Phi
","14.5 %
","750 ML
",Merlot,Đỏ ruby,Rượu Vang Đỏ,LanZerac,Stellenbosch
VNADT-889,Rượu Vang Nam Phi Namysto,889.000,"Nam Phi
","13.5 %
","750 ML
","
",Đỏ ruby,Rượu Vang Đỏ, Namysto,
VNPV4-424,Rượu Vang Nam Phi Obikwa Chenin Blanc,382.000,"Nam Phi
","13 %
","750 ML
",Chenin Blanc, Xanh nhạt,Rượu Vang Trắng,: ,: Western Cape
VNPV-424,Rượu Vang Nam Phi Obikwa Merlot,382.000,"Nam Phi
","13 %
","750 ML
",Merlot, Đỏ ruby,Rượu Vang Đỏ,Obikwa,: Western Cape
VNPV1-424,Rượu Vang Nam Phi Obikwa Pinotage,382.000,"Nam Phi
","13 %
","750 ML
",:, Đỏ ruby,Rượu Vang Đỏ,Obikwa,: Western Cape
VNWH2-1500,Rượu Vang Nam Phi Radford Dale Black Rock,1,"Nam Phi
","14 %
","750 ML
","Syrah,Carignan,Cinsault",,Rượu vang đỏ,Radford Dale,: Western Cape
VNWH-1700,Rượu Vang Nam Phi Radford Dale Gravity,1,"Nam Phi
","14.5 %
","750 ML
","Syrah,Cabernet Sauvignon,Merlot",,Rượu vang đỏ,Radford Dale,: Western Cape
VNWH1-1250,Rượu Vang Nam Phi Radford Dale Syrah,1,"Nam Phi
","13.5 %
","750 ML
",Syrah,,Rượu vang đỏ,Radford Dale,: Stellenbosch
VNWH2 - 435,Rượu Vang Nam Phi The Winery of Good Hope Syrah,410.000,"Nam Phi
","14 %
","750 ML
",Shiraz,,Rượu vang đỏ,: The Winery of Good Hope ,: Stellenbosch
VNPV1-426,Rượu Vang Nam Phi Two Oceans Pinot Noir,384.000,"Nam Phi
","13 %
","750 ML
",Pinot Noir, Đỏ ruby,Rượu Vang Đỏ,: Two Oceans,: Western Cape
VNADT5-856,Rượu Vang Namysto Sauvignon Blanc,856.000,"Nam Phi
","13.5 %
","750 ML
","
",Đỏ ruby,Rượu Vang Trắng, Namysto,
VNYW-1188,Rượu Vang Napa Valley 55 Cabernet Sauvignon,1.188.000,"Mỹ
","14.5 %
","750 ML
",Carbernet Sauvignon,Màu đỏ ruby,Rượu Vang Đỏ,RD Napa Valley,Napa Valley
VNYW-1140,Rượu Vang Napa Valley 55 Merlot,1.140.000,"Mỹ
","14.5 %
","750 ML
",Merlot,Màu đỏ ruby,Rượu Vang Đỏ,RD Napa Valley,Napa Valley
VNYW1-1140,Rượu Vang Napa Valley 55 Syrah,1.140.000,"Mỹ
","14 %
","750 ML
",Syrah,Màu đỏ ruby,Rượu Vang Đỏ,RD Napa Valley,Napa Valley
VNYW-1260,Rượu Vang Napa Valley 66 Cabernet Sauvignon,1.260.000,"Mỹ
","14.5 %
","750 ML
",Carbernet Sauvignon,Màu đỏ ruby,Rượu Vang đỏ,RD Napa Valley,Napa Valley
VNYW-1199,Rượu Vang Napa Valley 66 Merlot,1.199.000,"Mỹ
","14.1 %
","750 ML
",Merlot,Màu đỏ ruby,Rượu Vang Đỏ,RD Napa Valley,Napa Valley
VNYW1-1199,Rượu Vang Napa Valley 66 Syrah,1.199.000,"Mỹ
","14 %
","750 ML
",Syrah,Màu đỏ ruby,Rượu Vang Đỏ,RD Napa Valley,Napa Valley
VNYW-1485,Rượu Vang Napa Valley 77 Cabernet Sauvignon,1.485.000,"Mỹ
","14.5 %
","750 ML
",Carbernet Sauvignon,Màu đỏ ruby,Rượu Vang đỏ,RD Napa valley,Napa Valley
VNYW1-1375,Rượu Vang Napa Valley 77 Syrah,1.375.000,"Mỹ
","14.5 %
","750 ML
",Syrah,Màu đỏ ruby,Rượu Vang đỏ,RD Napa Valley,Napa Valley
VNYW-1628,Rượu Vang Napa Valley 88 Cabernet Sauvignon,1.628.000,"Mỹ
","14.5 %
","750 ML
",Carbernet Sauvignon,Màu đỏ ruby,Rượu Vang đỏ,RD Napa valley,Napa Valley
VNYW-1523,Rượu Vang Napa Valley 88 Merlot,1.523.000,"Mỹ
","14.5 %
","750 ML
",Merlot,Màu đỏ ruby,Rượu Vang đỏ,RD Napa valley,Napa Valley
VNYW-1925,Rượu Vang Napa Valley 99 Cabernet Sauvignon,1.925.000,"Mỹ
","14.5 %
","750 ML
",Cabernet Sauvignon,Màu đỏ ruby,Rượu Vang đỏ,,Napa Valley
VNYW-1733,Rượu Vang Napa Valley 99 Merlot,1.733.000,"Mỹ
","14.9 %
","750 ML
",Merlot,Màu đỏ ruby,Rượu Vang đỏ,,Napa Valley
VNYW1-1733,Rượu Vang Napa Valley 99 Syrah,1.733.000,"Mỹ
","14.9 %
","750 ML
",Syrah,Màu đỏ ruby,Rượu Vang đỏ,,Napa Valley
VNYW-656,Rượu Vang Napa Valley Chardonay,656.000,"Mỹ
","15 %
","750 ML
",Chardonnay,Vàng nhạt ,Rượu Vang Trắng,RD Winery,"
"
VNVY-830,Rượu Vang Nardelli 1961 Merlot – Cabernet,830.000,"Ý
","15 %
","750 ML
","Merlot,Cabernet Sauvignon",Đỏ ruby,Rượu Vang Đỏ,,Puglia
VNVY1-910,Rượu Vang Nardelli 1964,910.000,"Ý
","15 %
","750 ML
","Merlot,Cabernet Sauvignon",Đỏ ruby,Rượu Vang Đỏ,,Puglia
VNVY3-910,Rượu Vang Nardelli 1976,910.000,"Ý
","15 %
","750 ML
","Merlot,Cabernet Sauvignon",Đỏ ruby,Rượu Vang Đỏ,,Puglia
VNVY-390,Rượu Vang Nardelli Cabernet,390.000,"Ý
","13.5 %
","750 ML
",Cabernet Sauvignon,Đỏ ruby,Rượu Vang Đỏ,,Puglia
VNVY-3250,Rượu Vang Nardelli Muretto Primitivo,3.250.000,"Ý
","18 %
","750 ML
",Primitivo,Đỏ ruby,Rượu Vang Đỏ,Nardelli,Puglia
VNVY-1190,Rượu Vang Nardelli Negroamaro,1.190.000,"Ý
","15 %
","750 ML
",Negroamaro,Đỏ ruby,Rượu Vang Đỏ,,Puglia
VNVY1-1190,Rượu Vang Nardelli Nero Di Troia,1.190.000,"Ý
","15 %
","750 ML
",Nero Di Troia,Đỏ ruby,Rượu Vang Đỏ,,Puglia
VNVY-1360,Rượu Vang Nardelli Primitivo Di Manduria,1.360.000,"Ý
","15 %
","750 ML
",Primitivo,Đỏ ruby,Rượu Vang Đỏ,,Puglia
VNVY1-1100,Rượu Vang Nardelli Salice Salentino,1.100.000,"Ý
","15 %
","750 ML
",: Rosso,Đỏ ruby,Rượu Vang Đỏ,,Puglia
VNTH-900,Rượu Vang Nativ Greco Di Tufo,900.000,"Ý
","13 %
","750 ML
",: Greco, Vàng chanh,Rượu Vang Trắng,,: Campania
VNTL-1037,Rượu Vang Nativ Suadens Rosso,925.000,"Ý
","14 %
","750 ML
",,,,,
VNAV-1860,Rượu Vang Nauna Schola Sarmenti,1.800.000,"Ý
","15.5 %
","750 ML
",,,,,
VNWH1-1045,Rượu Vang Nautilus Chardonnay Marlborough,1,"New Zealand
","13.5 %
","750 ML
",Chardonnay, Màu vàng nhạt,Rượu vang trắng, Nautilus,Marlborough
VNWH2-875,Rượu Vang Nautilus Pinot Gris Marlborough,1,"New Zealand
","13.5 %
","750 ML
",Pinot Gris, Màu vàng nhạt ánh xanh lá cây,Rượu vang trắng, Nautilus,Marlborough
VNHM-1300,Rượu Vang Nebbia 16 Meses,1.300.000,"Tây Ban Nha
","14.5 %
","750 ML
",Tempranillo,Đỏ ruby,Rượu Vang Đỏ,Nebbia,
VNTH1-1100,Rượu Vang Nebbia 22 Meses,1.100.000,"Tây Ban Nha
","14.5 %
","750 ML
",Tempranillo, Đỏ,Rượu vang đỏ,: Bodegas Verduguez,: Castilla
VNPV3-571,Rượu Vang Nederburg The Wine Master Cabernet Sauvignon,514.000,"Nam Phi
","14 %
","750 ML
",Cabernet Sauvignon, Đỏ ruby,Rượu Vang Đỏ,: Nederburg,: Western Cape
VNPV-571,Rượu Vang Nederburg The Wine Master Pinotage,514.000,"Nam Phi
","13 %
","750 ML
",Pinotage, Đỏ ruby,Rượu Vang Đỏ,: Nederburg,: Western Cape
VNPV1-571,Rượu Vang Nederburg The Wine Master Sauvignon Blanc,514.000,"Nam Phi
","13 %
","750 ML
",Sauvignon blanc, Vàng nhạt,Rượu Vang Trắng,: Nederburg,: Western Cape
VNAV3-1230,Rượu Vang Nerio Schola Sarmenti,1.025.000,"Ý
","14 %
","750 ML
",,,,,
VNHD2-850,Rượu Vang Nero Grande Appassimento,850.000,"Ý
","15 %
","750 ML
","Primitivo,Negroamaro",,Rượu Vang Đỏ,Femar Vini,Puglia
VNWH3-985,Rượu Vang Nestor Belicard Beaujolais Villages,985.000,"Pháp
","13 %
","750 ML
",Gamay, Đỏ,Rượu vang đỏ,: Domaine Nestor Belicard,: Beaujolais
VNWH2-690,Rượu Vang Nestor Belicard Rose De Rosalie Belicard Beaujolais,690.000,"Pháp
","13 %
","750 ML
",Garmay,Màu hồng ngọc,Rượu Vang Hồng,Nestor Belicard, Beaujolais
VNPV-1026,Rượu Vang New Zealand Esk Valley Hawkes Bay Syrah,924.000,"New Zealand
","13.5 %
","750 ML
",Syrah, Đỏ ruby,Rượu Vang Đỏ,: Esk Valley,: North Island
VNPV-835,Rượu Vang New Zealand Esk Valley Sauvignon Blanc,752.000,"New Zealand
","14 %
","750 ML
",Sauvignon Blanc, Vàng rơm,Rượu Vang Trắng,: Esk Valley,Marlborough
VNWH-765,Rượu Vang New Zealand Nautilus Sauvignon Blanc,1,"New Zealand
","13 %
","750 ML
",Sauvignon Blanc, Vàng hổ phách,Rượu Vang Trắng,: Nautilus,Marlborough
VNMT-950,Rượu Vang New Zealand Odyssey Pinot Noir,950.000,"New Zealand
","13 %
","750 ML
",Pinot Noir,Màu đỏ đậm,Rượu Vang Đỏ, Odyssey,Marlborough
VNVC-693,Rượu Vang New Zealand Ribbonwood Pinot Gris,693.000,"New Zealand
","14 %
","750 ML
",Pinot Gris,Vàng rơm,Rượu Vang Trắng,Ribbonwood,Marlborough
VNPV-610,Rượu Vang New Zealand Silverlake Sauvignon Blanc,549.000,"New Zealand
","13.5 %
","750 ML
",Sauvignon blanc, Vàng rơm,Rượu Vang Trắng,: Silverlake,Marlborough
VNPV3-689,Rượu Vang New Zealand Villa Maria Private Bin Rose,621.000,"New Zealand
","12.5 %
","750 ML
",Merlot, Hồng nhạt,Rượu Vang Hồng,Villa Maria,: North Island
VNPV-1377,Rượu Vang New Zealand Villa Maria Sauvignon Blanc,1.240.000,"New Zealand
","13.5 %
","750 ML
",Sauvignon blanc, Vàng rơm,Rượu Vang Trắng,Villa Maria,Marlborough
VNPV-773,Rượu Vang Ngọt Chateau Filhot Sauternes,696.000,"Pháp
","13.5 %
","375 ML
","Semillon,Sauvignon Blanc", Vàng nhạt,Rượu vang ngọt,,Bordeaux
VNDL-625,Rượu Vang Ngọt Chateau Grand Dousprat,1,"Pháp
","14 %
","500 ML
","Sauvignon Blanc,Semillon",Màu vàng nhạt,Rượu Vang Ngọt,Borie Manoux,Bordeaux
VNPV1-2285,Rượu Vang Ngọt Chateau Guiraud Sauternes,2.057.000,"Pháp
","14.5 %
","375 ML
","Sauvignon Blanc,Semillion", Vàng rơm,Rượu Vang Ngọt,Chateau Guiraud,Bordeaux
VNPV-3890,Rượu Vang Ngọt Chateau Lafaurie Peyraguey,3.501.000,"Pháp
","13.5 %
","750 ML
","Semillion,Sauvignon Blanc", Vàng rơm,Rượu Vang Ngọt,Lafaurie Peyraguey,Bordeaux
VNPV-1069,Rượu Vang Ngọt Haut Charmes Sauternes,963.000,"Pháp
","14 %
","750 ML
","Semillon,Sauvignon Blanc", Vàng nhạt,Rượu vang ngọt,: Haut Charmes,Bordeaux
VNPV-1375,Rượu Vang Ngọt La Chapelle de Lafaurie Peyraguey,1.238.000,"Pháp
","13.5 %
","750 ML
","Semillon,Sauvignon Blanc", Vàng nhạt,Rượu vang ngọt,: Lafaurie Peyraguey,Bordeaux
VNLK-350,Rượu Vang Ngọt Passione,350.000,"Ý
","10.5 %
","750 ML
",Cabernet Sauvignon,Đỏ ruby,Rượu Vang Đỏ, Gianmarco Vino ,Veneto
VNNEIR1-450,Rượu Vang Ngọt Tokaji Muscat Lunel,450.000,"Hungary
","11 %
","750 ML
",Muscat, Màu vàng nhạt,Rượu Vang Ngọt,,Tokaji
VNPV-552,Rượu Vang Ngọt Torres Floralis Moscatel Oro,497.000,"Tây Ban Nha
","11.5 %
","500 ML
",Moscato, Hồng đào,Rượu Vang Ngọt,Torres,: Catalunya
VNTK-4554,Rượu Vang Nicolas Catena Zapata,4.554.000,"Argentina
","14.5 %
","750 ML
","Cabernet Sauvignon,Malbec",Đỏ ruby,Rượu Vang Đỏ,,Mendoza
VNVH-12000,Rượu Vang Nicolis Ambrosan Amarone Della Valpolicella,12.000.000,"Ý
","16 %
","750 ML
","Corvina,,Rondinella",,Rượu Vang Đỏ,Nicolis Ambrosan,"
"
VNDL4-900,Rượu Vang Nimbus Cabernet Sauvignon,829.000,"Chile
","14 %
","750 ML
",Cabernet Sauvignon, Đỏ,Rượu vang đỏ,,Maipo Valley
VNDL6-809,Rượu Vang Nimbus Chardonnay,809.000,"Chile
","12 %
","750 ML
",Chardonnay, Vàng rơm,Rượu Vang Trắng,Casablanca,: Casablanca Valley
VNVH-470,Rượu Vang Nổ 075 Carati Prosecco Doc,470.000,"Ý
","11 %
","750 ML
",Glera, ,Rượu Vang Trắng,Piera1899, Prosecco D.O.C
VNLK-550,Rượu Vang Nổ 47 Anno Domini Prosecco Doc,550.000,"Ý
","11 %
","750 ML
","Glera,Chardonnay,Pinot Grigio",Vàng nhạt,Rượu Vang Nổ,47 Anno Domini,Veneto
VNWP3-550,Rượu Vang Nổ 7Colores Brut,550.000,"Chile
","13.5 %
","750 ML
","Chardonnay,Pinot Gris", ,Rượu Vang Trắng,7Colores,: Limari Valley
VNQW1-658,Rượu Vang Nổ Acquesi Brachetto Piemonte,658.000,"Ý
","6.5 %
","750 ML
",Brachetto, ,Rượu Vang Nổ,Asti Acquesi,Piedmont
VNVC-1023,Rượu Vang Nổ Albert Bichot Cremant De Bourgogne,1.023.000,"Pháp
","12 %
","750 ML
","Chardonnay,Pinot Noir,Gamay",Vàng nhạt,Rượu Vang Nổ,Albert Bichot,Bourgogne
VNWH1-360,Rượu Vang Nổ Angas Moscato Rosé,360.000,"ÚC
","8.5 %
","750 ML
",Moscato, Hồng nhạt,Rượu Vang Nổ,Yalumba,: South Eastern Australia
VNTL-340,Rượu Vang Nổ Arrogant Sparkling Rose,310.000,"Pháp
","12 %
","750 ML
","Grenache,Syrah", Màu hồng nhạt,Rượu Vang Nổ,Arrogant Frog,Languedoc
VNQW-658,Rượu Vang Nổ Asti Acquesi Docg,658.000,"Pháp
","7 %
","750 ML
",Moscato,Vàng chanh,Rượu Vang Nổ,Asti Acquesi,
VNTH1-280,Rượu Vang Nổ Astoria Cuvee Astoria Lounge,280.000,"Ý
","11 %
","750 ML
","Chardonnay,Glera", Vàng đậm,Rượu Vang Nổ,,
VNTH4-400,Rượu Vang Nổ Astoria Luxury Brut,400.000,"Ý
","11 %
","750 ML
","Chardonnay,Glera", Vàng nhạt,Rượu vang Champagne,: Astoria,Veneto
VNHD1-755,Rượu Vang Nổ Baglietti No.6 Moscato Rose,755.000,"Ý
","6.5 %
","750 ML
",,Hồng nhạt,Rượu Vang Hồng, Baglietti,Veneto
VNHD-755,Rượu Vang Nổ Baglietti No.7 Vino Spumante Rose,755.000,"Ý
","11 %
","750 ML
",,,Rượu Vang Hồng, Baglietti,Veneto
VNPV-636,Rượu Vang Nổ Banfi Tener Sauvignon Chardonnay,573.000,"Ý
","12 %
","750 ML
","Sauvignon Blanc,Chardonnay",: Vàng rơm,Vang nổ,Banfi,Tuscany
VNQW-365,Rượu Vang Nổ Barons De Medicis Blanc De Blanc,365.000,"Pháp
","12.5 %
","750 ML
",Chardonnay,Vàng chanh,Rượu Vang Nổ,Barons De Medicis,
VNMT-746,Rượu Vang Nổ Bava Malvasia Rose Spumante Dolce,746.000,"Ý
","17 %
","750 ML
",Malvasia Bianca,,Rượu Vang Hồng, Bava,Piedmont
VNBMF-230,Rượu Vang Nổ BB Arany Cuvee,230.000,"Hungary
","11 %
","750 ML
","
",Vàng nhạt,Rượu Vang Nổ, BB,
VNBMF2-230,Rượu Vang Nổ BB Bronz Rose Cuvee,230.000,"Hungary
","11.5 %
","750 ML
",,,Rượu Vang Nổ, BB,
VNBMF-137,Rượu Vang Nổ BB Spumante,137.000,"Hungary
","11.5 %
","750 ML
",Moscato,Vàng nhạt,Rượu Vang Nổ, BB,
VNCIE-186,Rượu Vang Nổ Bellavita Semi Dolce Fragolino,186.000,"Ý
","8 %
","750 ML
",Fragolino,Đỏ ruby,Rượu Vang Đỏ,Bellavita,
VNPG1-1200,Rượu Vang Nổ Beresford Sparkling Syrah,1.200.000,"ÚC
","13.2 %
","750 ML
",Syrah, ,Syrah,Beresford, Mc Laren
VNDL-515,Rượu Vang Nổ Bisol BelStar Prosecco DOC,450.000,"Ý
","11.5 %
","750 ML
",Glera, Màu vàng nhạt,Rượu Vang Nổ, Bisol,Prosecco DOC  
VNDL-809,Rượu Vang Nổ Bisol Cru Crede Prosecco Brut,728.000,"Ý
","11.5 %
","750 ML
","Glera,Pinot Blanc", Màu trắng xanh nhạt,Rượu Vang Nổ, Bisol,Conegliano-Valdobbiadene Prosecco
VNDL-692,Rượu Vang Nổ Bisol Jeio Valdobbiadene,623.000,"Ý
","11.5 %
","750 ML
","Glera,Pinot Blanc", Màu trắng xanh,Rượu Vang Nổ, Bisol,Conegliano-Valdobbiadene Prosecco
VNCIE-520,Rượu Vang Nổ Bolla Valdobbiadene Prosecco,520.000,"Ý
","11 %
","750 ML
",Glera,,Rượu Vang Trắng,Bolla,Veneto
VNPV-5036,Rượu Vang Nổ Bottega Gold 3000 ML,4.533.000,"Ý
","11 %
","3000 ML
",Glera, Màu vàng rơm nhạt,Rượu Champagne,Bottega,Veneto
VNPV1-598,Rượu Vang Nổ Bottega Rose Brut,539.000,"Ý
","11 %
","750 ML
",Glera, ,Rượu Vang Nổ,Bottega,Veneto
VNVC1-572,Rượu Vang Nổ Botter Prosecco Vino Frizzante,572.000,"Ý
","11 %
","750 ML
",Glera,Vàng nhạt,Rượu Vang Nổ, Botter,Veneto
VNSSP-690,Rượu Vang Nổ Bouchon Extra Brut,690.000,"Chile
","12.5 %
","750 ML
",Cinsault, ,Rượu Vang Trắng,,Thung lũng Maule
VNPV1-733,Rượu Vang Nổ Bouvet Brut De Loire Saumur,660.000,"Pháp
","12.5 %
","750 ML
",Chenin Blanc,Màu vàng sáng,Chenin Blanc, Bouvet Ladubay,Loire Valley
VNPV-840,Rượu Vang Nổ Brochet Blanc De Blancs Chardonnnay,756.000,"Pháp
","12.5 %
","750 ML
",Chardonnnay,Màu trắng ngả vàng,Chardonnnay,Ampelidae,Loire Valley
VLTL-427,Rượu Vang Nổ Calvet Celebration Sparkling Blanc,427.000,"Pháp
","12 %
","750 ML
","Muscat,Colombard", Trắng có ánh xanh lá,Rượu Vang Nổ,,Bordeaux
VLTL1-427,Rượu Vang Nổ Calvet Celebration Sparkling Rose,427.000,"Pháp
","12.5 %
","750 ML
","Cinsault,Grenache Noir,Muscat", ,Rượu Vang Nổ,Calvet,Bordeaux
VNPV1-558,Rượu Vang Nổ Casillero Del Diablo Devil’s Brut,503.000,"Chile
","12 %
","750 ML
",Sauvignon Blanc,,Rượu Vang Nổ,Concha Y Toro,: Limari Valley
VNMH4-720,Rượu Vang Nổ Cava Conde De Haro,720.000,"Tây Ban Nha
","12.5 %
","750 ML
",": Viura, Malvasía", Đỏ ruby,Rượu Vang Nổ,Muga,: Rioja
VNCIE-380,Rượu Vang Nổ Cavicchioli 1928 Moscato,380.000,"Ý
","6 %
","750 ML
",Moscato,Vàng rơm,Vang Nổ,Cavicchioli,: Emilia – Romagna
VNWH7-350,Rượu Vang Nổ Charles De Fère Cuvée Jean Louis Blanc De Blancs,335.000,"Pháp
","12.5 %
","750 ML
",Chardonnay, Vàng nhạt,Rượu Vang Nổ,: Charles de Fère ,
VNWH4-450,Rượu Vang Nổ Charles De Fère Cuvée Jean Louis My Paris Secret,450.000,"Pháp
","12.5 %
","750 ML
",": Airen, Ugni Blanc, Colombard", Trắng,Rượu Vang Nổ,: Charles de Fère ,: Loire Valley
VNMH-240,Rượu Vang Nổ Charles Roux Blanc De Blancs,240.000,"Pháp
","11.5 %
","750 ML
",Chardonnay, Vàng nhạt,Rượu Vang Nổ,: Charles Roux,Bourgogne
VNWH-295,Rượu Vang Nổ Chevalier Brut Blanc De Blancs,285.000,"Pháp
","12.5 %
","750 ML
",Chardonnay, Vàng nhạt,Rượu Vang Nổ,: Chevalier ,Bourgogne
VNVC-572,Rượu Vang Nổ Comte De Baulieu Brut Blanc De Blanc,572.000,"Pháp
","11.5 %
","750 ML
",Ugni Blanc,Vàng nhạt,Rượu Vang Nổ, Comte De Baulieu,
VNADT2-398,Rượu Vang Nổ Cruset Blanc Demi Sec,398.000,"Pháp
","11 %
","750 ML
","
",Đỏ ruby,Rượu Vang Nổ,Cruset,
VNMH-440,Rượu Vang Nổ Danzante Prosecco,440.000,"Ý
","11 %
","750 ML
",Glera, ,Rượu vang trắng,Frescobaldi,Veneto
VNPV1-477,Rượu Vang Nổ De Bortoli Family Selection Sparkling Brut,430.000,"ÚC
","13.5 %
","750 ML
",Chardonnay, Màu vàng rơm,Rượu Vang Nổ,De Bortoli,New South Wales
VNPV1-478,Rượu Vang Nổ Dea Del Mare Prosecco,431.000,"Ý
","11 %
","750 ML
",Glera,,Rượu Vang Nổ,Wine People,Veneto
VNPV-316,Rượu Vang Nổ Delafinca Brut Sparkling,285.000,"Tây Ban Nha
","11.5 %
","750 ML
",": Macabeo, Parellada, Xarello", Vàng rơm,Rượu Vang Nổ,,: Wine of Spain
VNHD-135,Rượu Vang Nổ Dolce Vita – Vang Ngọt Không Độ,165.000,"Ý
","0 %
","750 ML
",,Đỏ hồng,Rượu Vang Nổ,,
VNPV4-927,Rượu Vang Nổ Domaine Rolet Cremant Du Jura,835.000,"Pháp
","12 %
","750 ML
","Pinot Noir,Chardonnay", Màu vàng nhạt,Rượu Vang Nổ, Domaine Rolet,Jura
VNPE-792,Rượu Vang Nổ Domaine Ste Michelle Brut,792.000,"Mỹ
","12 %
","750 ML
","Pinot Noir,Pinot Meunieur,Chardonnay", Vàng rơm,Rượu Vang Nổ,: Chateau St Michell,: Columbia Valley
VNWP-790,Rượu Vang Nổ Donelli Prosecco,790.000,"Ý
","11.5 %
","750 ML
",: Prosecco,Vàng ánh xanh,Rượu Vang Nổ,: Donelli Vini S.P.A,: Gattatico
VNYW-363,Rượu Vang Nổ Duet Mousseux Brut,363.000,"Tây Ban Nha
","10.5 %
","750 ML
","Viura, Airen",Màu vàng nhạt,Rượu Vang Nổ,Duet,Castilla/La Mancha
VNVY-2130,Rượu Vang Nổ Ferrari Brut Trentodoc,2.130.000,"Ý
","12.5 %
","750 ML
",Chardonnay, ,Rượu Vang Trắng,,": Italy, Trentino-Alto Adige, Trento"
VNVY1-2130,Rượu Vang Nổ Ferrari Demi – Sec Trentodoc,2.130.000,"Ý
","12.5 %
","750 ML
",Chardonnay, ,Rượu Vang Trắng,,": Italy, Trentino-Alto Adige, Trento"
